Index,Open,High,Low,Close,adj,Volume
2015-11-18,119.580002,120.190002,119.360001,120.019997,113.831192,5233900
2015-11-19,120.879997,121.150002,120.68,120.82,114.589951,6643000
2015-11-20,120.93,121.040001,120.279999,120.449997,114.239021,5971000
2015-11-23,120.529999,121.120003,120.32,120.82,114.589951,5436300
2015-11-24,120.900002,121.199997,120.580002,120.809998,114.580437,3371500
2015-11-25,121.169998,121.419998,120.949997,121.089996,114.846024,3280900
2015-11-27,121.25,121.32,120.959999,120.970001,114.732201,2570600
2015-11-30,121.099998,121.529999,121.059998,121.449997,115.187462,5179800
2015-12-01,121.260002,122.849998,121.260002,122.830002,116.743347,12766600
2015-12-02,122.660004,123.040001,122.190002,122.870003,116.781364,7345800
2015-12-03,121.360001,121.400002,118.989998,119.529999,113.60685,16612200
2015-12-04,119.529999,120.93,119.470001,120.580002,114.604836,11843800
2015-12-07,120.809998,122.459999,120.800003,121.75,115.716858,9016700
2015-12-08,122.279999,122.43,121.449997,121.809998,115.773903,7257500
2015-12-09,121.349998,122.150002,120.510002,121.68,115.650337,8993900
2015-12-10,121.790001,122.029999,121.489998,121.839996,115.802406,5568100
2015-12-11,123.029999,124.099998,122.870003,123.760002,117.627266,12300000
2015-12-14,123.080002,123.150002,121.75,122.160004,116.10656,10084400
2015-12-15,121.019997,121.599998,120.830002,121.440002,115.422234,8795500
2015-12-16,121.07,122.169998,120.5,121.18,115.175117,10988600
2015-12-17,121.779999,122.779999,121.639999,122.550003,116.477226,9923000
2015-12-18,123.080002,123.519997,122.82,123.230003,117.12352,10171700
2015-12-21,123.43,123.779999,122.919998,123.199997,117.094971,7494900
2015-12-22,122.650002,122.800003,121.989998,122.309998,116.2491,5136800
2015-12-23,121.230003,121.610001,120.870003,121.389999,115.374687,7287100
2015-12-24,121.470001,121.870003,121.400002,121.830002,116.035683,3364600
2015-12-28,121.989998,122.669998,121.849998,122.190002,116.378563,7265200
2015-12-29,121.690002,121.739998,120.010002,120.160004,114.445091,7787500
2015-12-30,119.919998,120.540001,119.669998,120.040001,114.330811,5508900
2015-12-31,120.57,120.860001,120.25,120.580002,114.845123,7897700
2016-01-04,121.93,122.449997,121.32,121.449997,115.673759,10591900
2016-01-05,120.879997,121.5,120.660004,120.959999,115.207062,6242600
2016-01-06,122.300003,122.620003,122.050003,122.589996,116.759544,8916900
2016-01-07,122.68,122.93,121.790001,122.809998,116.969086,10202200
2016-01-08,122.43,123.470001,122.230003,123.360001,117.492935,9577200
2016-01-11,122.040001,122.790001,121.860001,122.010002,116.20713,9660400
2016-01-12,122.339996,124.32,122.150002,123.769997,117.88343,12897700
2016-01-13,123.529999,125.5,123.269997,124.989998,119.045403,15577600
2016-01-14,124.470001,124.970001,123.339996,123.82,117.931061,12873800
2016-01-15,125.400002,125.959999,125.080002,125.75,119.769241,13976300
2016-01-19,125.129997,126.07,124.949997,125.360001,119.397812,8926600
2016-01-20,126.980003,127.919998,126.419998,126.68,120.655022,17283300
2016-01-21,126.940002,127.290001,125.669998,125.82,119.835922,11001600
2016-01-22,124.910004,125.529999,124.519997,125.339996,119.378746,10164300
2016-01-25,125.949997,126.269997,125.650002,126.019997,120.026413,5738200
2016-01-26,125.989998,126.459999,125.75,126.080002,120.083557,5554100
2016-01-27,125.75,126.290001,125.190002,126.050003,120.055,7957800
