Date,Open,High,Low,Close,Adj Close,Volume
2009-04-24,53.98,53.990002,50.790001,53.450001,47.640961,35400
2009-04-27,53,53.119999,51.709999,52.43,46.731815,21100
2009-04-28,52.400002,53.259998,52,53.040001,47.275528,40500
2009-04-29,53.5,53.75,52.400002,53.419998,47.61422,23800
2009-04-30,53.98,53.98,52.029999,52.119999,46.45549,11400
2009-05-01,52.16,52.360001,51.049999,51.32,45.742458,10400
2009-05-04,51.900002,52.27,50.049999,50.82,45.296787,18900
2009-05-05,50.5,51.099998,48.630001,48.91,43.594387,22300
2009-05-06,48.25,49.41,48.25,48.919998,43.827309,11900
2009-05-07,49.299999,49.82,47.75,47.799999,42.82391,10300
2009-05-08,48.299999,50.599998,46.869999,46.869999,41.990719,23300
2009-05-11,46.869999,47.509998,46.139999,46.330002,41.506939,26100
2009-05-12,47.439999,48.650002,46.150002,48.619999,43.55854,22500
2009-05-13,49.25,49.25,46.700001,47.400002,42.465553,26800
2009-05-14,47.720001,51.41,46.509998,51.189999,45.861004,44800
2009-05-15,51,51,48.630001,48.919998,43.827309,28000
2009-05-18,49.580002,50.68,48.240002,49.5,44.346928,34900
2009-05-19,48.919998,49.720001,48.110001,48.400002,43.361439,17400
2009-05-20,48.560001,49.709999,48.470001,48.759998,43.683964,26500
2009-05-21,48.5,48.77,47.509998,47.540001,42.590981,23300
2009-05-22,47.639999,49.669998,46.66,47.57,42.617844,15600
2009-05-26,47.849998,49.919998,46.669998,49.799999,44.615704,16500
2009-05-27,49.799999,50.09,48.880001,49.639999,44.472355,31000
2009-05-28,50.450001,50.450001,49,49.529999,44.37381,14000
2009-05-29,49.799999,49.799999,47.950001,48.779999,43.701885,22000
2009-06-01,50.389999,53.5,50.389999,53.34,47.787178,68600
2009-06-02,53.139999,55.580002,50.459999,53.66,48.07386,121900
2009-06-03,54.040001,55.34,52.950001,55.189999,49.444576,38300
2009-06-04,55.73,55.990002,54.310001,55.959999,50.134422,38100
2009-06-05,57,57,55.080002,56.68,50.77948,22600
2009-06-08,56.68,57.110001,55.860001,56.52,50.636147,25300
2009-06-09,56.68,56.98,56.060001,56.32,50.456963,20900
2009-06-10,56.049999,56.130001,55.060001,55.610001,49.820862,36500
2009-06-11,55.970001,57,55.610001,56.650002,50.752602,15600
2009-06-12,56.720001,56.720001,55.669998,56.349998,50.483829,9400
2009-06-15,56.59,56.889999,55.400002,56.200001,50.349434,26200
2009-06-16,55.73,56.34,55.73,56.16,50.31361,10800
2009-06-17,56.009998,57,56.009998,56.720001,50.815311,8500
2009-06-18,56.400002,56.970001,55.709999,56.419998,50.546547,15000
2009-06-19,57.02,57.099998,55.880001,55.880001,50.062756,29200
2009-06-22,55.389999,55.900002,54.32,54.650002,48.960804,21000
2009-06-23,54.889999,55.73,54.080002,54.360001,48.701008,11900
2009-06-24,54.32,56.73,54.209999,54.25,48.602444,11600
2009-06-25,54.169998,55.57,52.07,55.060001,49.328114,16400
2009-06-26,54.639999,58.18,54.09,58.18,52.123325,102500
2009-06-29,57.5,57.5,55.48,55.779999,49.973175,27000
2009-06-30,56.66,56.799999,55.009998,55.130001,49.390842,16500
2009-07-01,55.900002,55.900002,54.630001,55.48,49.704395,20700
2009-07-02,55.040001,55.5,54.630001,54.950001,49.22958,13000
2009-07-06,55,55.389999,54.720001,55.009998,49.283318,7900
2009-07-07,55.200001,55.490002,53.669998,54.09,48.459099,8400
2009-07-08,54.549999,54.549999,52.639999,52.75,47.258595,15100
2009-07-09,52.860001,54.369999,52.860001,53.139999,47.608013,10100
2009-07-10,53.57,54.220001,53.57,54.220001,48.575565,6100
2009-07-13,54.5,54.5,53.009998,54.18,48.539719,7600
2009-07-14,54.32,54.650002,53.790001,54.25,48.602444,7700
2009-07-15,54.59,55.029999,53.52,54.990002,49.265408,33300
2009-07-16,54.490002,55.849998,54.34,55.549999,49.767101,28500
2009-07-17,55.709999,56.360001,55.009998,55.810001,50.000046,14800
