"","Date","SPY","TLT","portvalue","rebasePort","rebasespy","rebasetlt"
"3779",2017-08-01,244.847153,123.356972,3134.56292398402,313.456292398402,357.151535404062,269.761049392742
"3780",2017-08-02,244.965942,123.426262,3136.1869227176,313.61869227176,357.324809519033,269.912575024487
"3781",2017-08-03,244.490753,124.70298,3146.68104253651,314.668104253651,356.631664922995,272.704543584307
"3782",2017-08-04,244.936249,123.643997,3138.35111106545,313.835111106545,357.281497189644,270.388725023447
"3783",2017-08-07,245.391647,123.782555,3143.18750698475,314.318750698475,357.945773220331,270.691728176619
"3784",2017-08-08,244.78775,123.337189,3133.91336615516,313.391336615516,357.06488594787,269.717787283162
"3785",2017-08-09,244.777847,124.010185,3141.19978804721,314.119978804721,357.05044072516,271.189516884283
"3786",2017-08-10,241.322739,125.069176,3127.57963249291,312.757963249291,352.010573558778,273.505352939804
"3787",2017-08-11,241.679138,125.128548,3130.82816073434,313.082816073434,352.530442581173,273.635189565694
"3788",2017-08-14,244.074951,124.485245,3141.26770014877,314.126770014877,356.025146444408,272.228393585346
"3789",2017-08-15,244.045242,123.960701,3135.31557217772,313.531557217772,355.981810776276,271.081303659269
"3790",2017-08-16,244.470947,124.41597,3143.39837616833,314.339837616833,356.602774477574,272.076900756091
"3791",2017-08-17,240.659439,125.346298,3125.77204598634,312.577204598634,351.043036830125,274.111372367144
"3792",2017-08-18,240.283249,125.316605,3122.70368994375,312.270368994375,350.494299242379,274.04643874637
"3793",2017-08-21,240.471344,125.623398,3127.43005860209,312.743005860209,350.768668036252,274.717343684166
"3794",2017-08-22,242.985947,125.138451,3140.46746621094,314.046746621094,354.436647473128,273.656845769059
"3795",2017-08-23,242.114731,125.989601,3143.41998986301,314.341998986301,353.165829625111,275.518168347492
"3796",2017-08-24,241.550446,125.524437,3134.21827892729,313.421827892729,352.342723243492,274.500932541965
"3797",2017-08-25,242.114731,126.009392,3143.63638788422,314.363638788422,353.165829625111,275.561447951733
"3798",2017-08-28,242.124649,125.930214,3142.84297823502,314.284297823502,353.180296727892,275.388298919112
