Date,BAC,S&P500
04/12/2001,31.17,1144.800049
05/12/2001,31.049999,1170.349976
06/12/2001,31.5,1167.099976
07/12/2001,31.59,1158.310059
10/12/2001,30.860001,1139.930054
11/12/2001,31.225,1136.76001
12/12/2001,31.440001,1137.069946
13/12/2001,30.82,1119.380005
14/12/2001,30.709999,1123.089966
17/12/2001,31.625,1134.359985
18/12/2001,31.540001,1142.920044
19/12/2001,31.754999,1149.560059
20/12/2001,31.549999,1139.930054
21/12/2001,30.799999,1144.890015
24/12/2001,30.9,1144.650024
26/12/2001,31.18,1149.369995
27/12/2001,31.475,1157.130005
28/12/2001,31.764999,1161.02002
31/12/2001,31.475,1148.079956
02/01/2002,31.48,1154.670044
03/01/2002,31.445,1165.27002
04/01/2002,31.934999,1172.51001
07/01/2002,31.555,1164.890015
08/01/2002,31.049999,1160.709961
09/01/2002,30.975,1155.140015
10/01/2002,31,1156.550049
11/01/2002,30.450001,1145.599976
14/01/2002,30.360001,1138.410034
15/01/2002,30.725,1146.189941
16/01/2002,30.4,1127.569946
17/01/2002,30.559999,1138.880005
18/01/2002,30.4,1127.579956
22/01/2002,31.334999,1119.310059
23/01/2002,31.43,1128.180054
24/01/2002,32,1132.150024
25/01/2002,31.674999,1133.280029
28/01/2002,31.82,1133.060059
29/01/2002,29.6,1100.640015
30/01/2002,30.83,1113.569946
31/01/2002,31.514999,1130.199951
01/02/2002,30.68,1122.199951
04/02/2002,29.700001,1094.439941
05/02/2002,29.450001,1090.02002
06/02/2002,29.424999,1083.51001
07/02/2002,29.475,1080.170044
08/02/2002,30.299999,1096.219971
11/02/2002,30.625,1111.939941
12/02/2002,30.530001,1107.5
13/02/2002,31.059999,1118.51001
14/02/2002,31.030001,1116.47998
15/02/2002,30.4,1104.180054
19/02/2002,29.775,1083.339966
20/02/2002,30.59,1097.97998
21/02/2002,30.555,1080.949951
22/02/2002,30.66,1089.839966
25/02/2002,31.625,1109.430054
26/02/2002,31.82,1109.380005
27/02/2002,31.780001,1109.890015
28/02/2002,31.975,1106.72998
01/03/2002,32.400002,1131.780029
04/03/2002,33.200001,1153.839966
05/03/2002,32.525002,1146.140015
06/03/2002,33.349998,1162.77002
07/03/2002,33.490002,1157.540039
08/03/2002,33.915001,1164.310059
11/03/2002,33.875,1168.26001
12/03/2002,34,1165.579956
13/03/2002,33.775002,1154.089966
14/03/2002,33.5,1153.040039
15/03/2002,34.59,1166.160034
18/03/2002,34.404999,1165.550049
19/03/2002,34.43,1170.290039
20/03/2002,33.919998,1151.849976
21/03/2002,34,1153.589966
22/03/2002,34.325001,1148.699951
25/03/2002,34.075001,1131.869995
26/03/2002,34.560001,1138.48999
27/03/2002,34.400002,1144.579956
28/03/2002,34.009998,1147.390015
01/04/2002,34.075001,1146.540039
02/04/2002,34.375,1136.76001
03/04/2002,34.130001,1125.400024
04/04/2002,34.349998,1126.339966
05/04/2002,34.459999,1122.72998
08/04/2002,34.740002,1125.290039
09/04/2002,34.849998,1117.800049
10/04/2002,34.970001,1130.469971
11/04/2002,34.299999,1103.689941
12/04/2002,35.025002,1111.01001
15/04/2002,34.599998,1102.550049
16/04/2002,35.360001,1128.369995
17/04/2002,35.400002,1126.069946
18/04/2002,35.310001,1124.469971
19/04/2002,35.810001,1125.170044
22/04/2002,35.529999,1107.829956
23/04/2002,36,1100.959961
24/04/2002,35.75,1093.140015
25/04/2002,35.419998,1091.47998
26/04/2002,35.889999,1076.319946
29/04/2002,35.634998,1065.449951
30/04/2002,36.240002,1076.920044
01/05/2002,36.119999,1086.459961
02/05/2002,36.775002,1084.560059
03/05/2002,36.84,1073.430054
06/05/2002,36.235001,1052.670044
07/05/2002,36.48,1049.48999
08/05/2002,37,1088.849976
09/05/2002,37.209999,1073.01001
10/05/2002,36.924999,1054.98999
13/05/2002,37.5,1074.560059
14/05/2002,37.939999,1097.280029
15/05/2002,37.959999,1091.069946
16/05/2002,38.105,1098.22998
17/05/2002,38.450001,1106.589966
20/05/2002,37.900002,1091.880005
21/05/2002,37.494999,1079.880005
22/05/2002,37.715,1086.02002
23/05/2002,38.325001,1097.079956
24/05/2002,38.07,1083.819946
28/05/2002,37.855,1074.550049
29/05/2002,38.134998,1067.660034
30/05/2002,37.959999,1064.660034
31/05/2002,37.904999,1067.140015
03/06/2002,37.224998,1040.680054
04/06/2002,37.200001,1040.689941
05/06/2002,36.605,1049.900024
06/06/2002,34.875,1029.150024
07/06/2002,35.485001,1027.530029
10/06/2002,35.564999,1030.73999
11/06/2002,35.355,1013.599976
12/06/2002,35.575001,1020.26001
13/06/2002,34.799999,1009.559998
14/06/2002,35.549999,1007.27002
17/06/2002,36.68,1036.170044
18/06/2002,37,1037.140015
19/06/2002,36.875,1019.98999
20/06/2002,36.049999,1006.289978
21/06/2002,35.130001,989.140015
24/06/2002,35.18,992.719971
25/06/2002,35.014999,976.140015
26/06/2002,33.724998,973.530029
27/06/2002,34.299999,990.640015
28/06/2002,35.18,989.820007
01/07/2002,34.625,968.650024
02/07/2002,34.744999,948.090027
03/07/2002,34.400002,953.98999
05/07/2002,35.41,989.030029
08/07/2002,35.970001,976.97998
09/07/2002,35.119999,952.830017
10/07/2002,34.049999,920.469971
11/07/2002,34.575001,927.369995
12/07/2002,34.305,921.390015
15/07/2002,33.895,917.929993
16/07/2002,33.150002,900.940002
17/07/2002,32.5,906.039978
18/07/2002,31.305,881.559998
19/07/2002,30.76,847.75
22/07/2002,30.135,819.849976
23/07/2002,28.950001,797.700012
24/07/2002,29.5,843.429993
25/07/2002,29.975,838.679993
26/07/2002,30.825001,852.840027
29/07/2002,32.150002,898.960022
30/07/2002,32.139999,902.780029
31/07/2002,33.25,911.619995
01/08/2002,32.400002,884.659973
02/08/2002,31.754999,864.23999
05/08/2002,31.030001,834.599976
06/08/2002,31.865,859.570007
07/08/2002,32.625,876.77002
08/08/2002,34.195,905.460022
09/08/2002,34.404999,908.640015
12/08/2002,34.224998,903.799988
13/08/2002,33.68,884.210022
14/08/2002,34.5,919.619995
15/08/2002,34.700001,930.25
16/08/2002,34.355,928.77002
19/08/2002,35.049999,950.700012
20/08/2002,34.505001,937.429993
21/08/2002,34.77,949.359985
